label,label_str,predicted,predicted_str,is_correct,source,email_excerpt
0,SAFE,0,SAFE,1,enron,"Subject: cornhusker for sept

cornhusker for sept correction : that should be rick hill , not rich
- - - - - - - - - - -"
0,SAFE,0,SAFE,1,enron,"Subject: re : aig highstar

re : aig highstar louise :
as an additional follow - up , as part of the approval process , "
1,PHISHING,0,SAFE,0,nazario,"Subject: BB&T: important security update. [Tue, 20 Mar 2007 03:06:24 -0800]

<HTML><HEAD>
<META http-equiv=Content-Type "
1,PHISHING,1,PHISHING,1,nazario,"Subject: WARNING: CONFIRM YOUR ONLINE BANKING ACCOUNT

<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML 1.0 Transitional//EN"" ""h"
0,SAFE,0,SAFE,1,enron,"Subject: meter # 9658

meter # 9658 as requested by kcs resources , the volume on deal # 125822 has been revised
from 10"
1,PHISHING,0,SAFE,0,nazario,"Subject: please update your details

<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"">
<HTML><HEAD><TITLE>"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Fifth Third USA Commercial Banking Online Banking Service Upgrade

[IMAGE]

   Dear 53-rd USA user!

   Our Mai"
0,SAFE,0,SAFE,1,enron,"Subject: houston visit and baby pictures

houston visit and baby pictures sally - thanks . i will bring some pictures wi"
1,PHISHING,0,SAFE,0,nazario,"Subject: [TKO] : your (eBay) account could be suspended

<html xmlns:v=""urn:schemas-microsoft-com:vml""
xmlns:o=""urn:sche"
0,SAFE,0,SAFE,1,enron,"Subject: wires for week of 11 / 19

wires for week of 11 / 19 kenny -
we have arranged the following wires to be sent to"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Credit/Debit Card Update

<table id=""masthead"" cellSpacing=""0"">
 <tr>
  <td id=""mastLeftCol"" noWrap><a 

href="""
0,SAFE,0,SAFE,1,enron,"Subject: enterprise wide risk management meeting , january 21

enterprise wide risk management meeting , january 21 this"
0,SAFE,0,SAFE,1,enron,"Subject: fw : presto

fw : presto its all about charm
- - - - - original message - - - - -
from : oxley , david
sent : m"
1,PHISHING,1,PHISHING,1,nazario,"Subject: FCU NOTICE: Important security renewal

<html>
<head>
<title>NCUA</title>
</head>

<body>
<table width=""99%"" he"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Your PayPal Account may be at risk 

<html>
<body>
<title>PayPal</title>
<style>
BODY, TD
{font-family:verdana,"
0,SAFE,0,SAFE,1,enron,"Subject: re : tw posting

re : tw posting attached is the open season posting for tw ' s potential expansion ( s ) that "
0,SAFE,0,SAFE,1,enron,"Subject: master netting status

master netting status with respect to my assignments jp morgan and dominion -
there is a"
0,SAFE,0,SAFE,1,enron,"Subject: start date : 2 / 2 / 02 ; hourahead hour : 24 ;

start date : 2 / 2 / 02 ; hourahead hour : 24 ; start date : 2"
1,PHISHING,1,PHISHING,1,nazario,"Subject: eBay customer support team: online user form released! (message id: I99759007828CI)

<head>
<meta      http-equ"
0,SAFE,0,SAFE,1,enron,"Subject: associate / analyst program

associate / analyst program after several very difficult weeks , enron announced o"
0,SAFE,0,SAFE,1,enron,"Subject: request submitted : access request for anita . dupont @ enron . com

request submitted : access request for ani"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Message from eBay member 

<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR"
1,PHISHING,0,SAFE,0,nazario,"Subject: eBay account verification!

<DIV>
<DIV>
<P>Dear valued customer,</P>
<P>Our records indicate that you haven't s"
0,SAFE,1,PHISHING,0,enron,"Subject: texas risk organization

texas risk organization sent on behalf of steve venturatos
you recently received a mem"
1,PHISHING,1,PHISHING,1,nazario,"Subject: PayPal Account Security Measures   

<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">
<HTML><HEAD"
0,SAFE,1,PHISHING,0,enron,"Subject: fw : western energy - - winter demand peaks not expected to result in

fw : western energy - - winter demand pe"
1,PHISHING,0,SAFE,0,nazario,"Subject: M&T Bank: Important Notice!

<head>
<meta      http-equiv=""Content-Type""     content=""text/html;    charset=iso"
0,SAFE,0,SAFE,1,enron,"Subject: re : cornhusker contact information

re : cornhusker contact information i still need the contact name , phone "
0,SAFE,0,SAFE,1,enron,"Subject: neon for march 28

neon for march 28 please respond to here is the neon lesson for march 28 th !
- experiencing"
1,PHISHING,0,SAFE,0,nazario,"Subject: Urgent Notice From Client Service Team! (message id: K2930295B)

<head>
<meta       http-equiv=""Content-Type"" c"
0,SAFE,0,SAFE,1,enron,"Subject: global standards report - september 2000

global standards report - september 2000 this is the draft copy of th"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Please restore your account access

<font size=""2"" face=""Courier New, Helvetica, sans-serif"">Dear PayPal Member"
0,SAFE,0,SAFE,1,enron,"Subject: comments

comments hi sheridan ,
how are you ? i hope that you had a good vacation . vasant and i looked at
you"
0,SAFE,0,SAFE,1,enron,"Subject: enron / hpl actuals for october 24 , 2000

enron / hpl actuals for october 24 , 2000 teco tap 72 . 922 / hpl ga"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Permanent TSB Online: Validate Your Account Information

<html>
    <div align=""center"">
    <table width=""65%"""
0,SAFE,1,PHISHING,0,enron,"Subject: research group move to the 19 th floor

research group move to the 19 th floor hello all :
in case any of you f"
1,PHISHING,1,PHISHING,1,nazario,"Subject: The Regions US Interact Suite Urgent Security Mail      
	REF: 861

[IMAGE]

   Dear The Regions Treasury Servi"
0,SAFE,0,SAFE,1,enron,"Subject: off - site travel question

off - site travel question the e - mail that was sent out many weeks ago about the "
0,SAFE,0,SAFE,1,enron,"Subject: tenaska iv 11 / 01

tenaska iv 11 / 01 darren :
it ' s that time again . please remove the price on deal 384258"
1,PHISHING,0,SAFE,0,nazario,"Subject: Revision in Your Amazon.com Account

<HTML>
&nbsp;  <IMG height=30 
src=""http://g-images.amazon.com/images/G/04"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Unauthorized access to your PayPal account!

<html><head><title>PayPal</title></head>
<body>
<style type=""text/"
1,PHISHING,0,SAFE,0,nazario,"Subject: Question about Item -- Respond Now

<html>
<head>
<!--eBay V3- msxml 4.0 XXXXXXXXXXXXXXXXXXXXXXXXXX-->
<!--srcI"
0,SAFE,0,SAFE,1,enron,"Subject: 98 - 0432

98 - 0432 can you please extend sitara deal # 156657 for 3 / 1 / 00 , if the deal will
allow ? it wa"
0,SAFE,0,SAFE,1,enron,"Subject: meeting reminder

meeting reminder the meeting to discuss "" var , reporting and resources ii "" has been
resched"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Question from eBay Member regarding Item #150057720098

<DIV>
<TABLE cellSpacing=0 cellPadding=5 width=""100%"" b"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Message from eBay member

<A href=""http://auto-net.biz/"" target=_blank rel=nofollow><IMG height=729 alt=""Respon"
0,SAFE,0,SAFE,1,enron,"Subject: research dept . move

research dept . move hello everyone :
attached is the churn relocation request for some o"
0,SAFE,0,SAFE,1,enron,"Subject: today ' s meeting

today ' s meeting went very well . lots of positive vibes afterwards and goodwill towards bo"
1,PHISHING,0,SAFE,0,nazario,"Subject: BB&T: security update, please read! -Thu, 08 Mar 2007 23:48:05 -0500

<HTML><HEAD>
<META   http-equiv=Content-T"
0,SAFE,0,SAFE,1,enron,"Subject: fw : howard sangwine

fw : howard sangwine greg / louise : our best middle marketer , howard sangwine ( $ 5 mm "
0,SAFE,0,SAFE,1,enron,"Subject: status

status louise :
not sure if you want me to send you updates or not ? i sent you a copy of the latest hp"
0,SAFE,0,SAFE,1,enron,"Subject: mid - year 2000 performance feedback

mid - year 2000 performance feedback note : you will receive this message"
0,SAFE,0,SAFE,1,enron,"Subject: biliana ' s resume

biliana ' s resume geynille ,
i understand you are in charge of recruiting at the uofh . i "
1,PHISHING,1,PHISHING,1,nazario,"Subject: Security Management

eBay is constantly working to ensure security by regularly screening the accounts in our s"
0,SAFE,0,SAFE,1,enron,"Subject: addendum to angelique woods

addendum to angelique woods . . . . . . . and i will be her supervisor ."
0,SAFE,0,SAFE,1,enron,"Subject: start date : 12 / 29 / 01 ; hourahead hour : 1 ;

start date : 12 / 29 / 01 ; hourahead hour : 1 ; start date :"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Please Update Your Profile - Personal Information Error

Dear Bank of America Customer,


We are contacting you"
0,SAFE,0,SAFE,1,enron,"Subject: fw : apel

fw : apel fyi
don
- - - - - original message - - - - -
from : "" donreidl ""
to : "" quilkey , paul ""
s"
0,SAFE,0,SAFE,1,enron,"Subject: re : lending ( short ) for 07 / 25 / 01

re : lending ( short ) for 07 / 25 / 01 i ' ve entered the following d"
0,SAFE,0,SAFE,1,enron,"Subject: re : wip report for week 09 / 17 / 01

re : wip report for week 09 / 17 / 01 attached is the updated wip report"
0,SAFE,0,SAFE,1,enron,"Subject: updated spreadsheet

updated spreadsheet this reflects trading through 2 : 45 . only calpine is notably down .
"
1,PHISHING,0,SAFE,0,nazario,"Subject: Fifth Third Bank Online [Mon, 18 Sep 2006 16:02:07 -0500]

<HTML><HEAD>
<META       http-equiv=Content-Type    "
0,SAFE,0,SAFE,1,enron,"Subject: re : generation investments meeting extreme tardiness

re : generation investments meeting extreme tardiness we"
0,SAFE,1,PHISHING,0,enron,"Subject: lng by rail

lng by rail vince ,
i was thinking about the type of things you could be talking to jeff shankman
"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Please Update Your Profile - Personal Information Error

<html>

<head>
<meta http-equiv=""Content-Language"" con"
1,PHISHING,0,SAFE,0,nazario,"Subject: Revision to Your Amazon.com Information 

<HTML>
<BODY>

<br><br><table style=""width:900px"" cellpadding=""0"" cel"
1,PHISHING,0,SAFE,0,nazario,"Subject: Private Message From eBay Accounts Management !!!

<style type=""text/css"">
<!--
.style1 {
	font-size: 10pt;
	fo"
1,PHISHING,0,SAFE,0,nazario,"Subject: E*TRADE Financial: URGENT NOTICE FROM BILLING DEPARTMENT

<head>
<meta http-equiv=""Content-Type"" content=""text/"
0,SAFE,0,SAFE,1,enron,"Subject: fw : lc to peoples

fw : lc to peoples in the immediate term , i am requesting we provide an lc to pec in the a"
0,SAFE,0,SAFE,1,enron,"Subject: cleburne outage

cleburne outage gentlemen ,
i wanted to clarify the length of the outage that started today at"
1,PHISHING,0,SAFE,0,nazario,"Subject: Authorization failed, eBay.com will get block in 12 hours your accont

<FONT face=""Courier New"" size=2>Dear eBa"
0,SAFE,0,SAFE,1,enron,"Subject: 2002 budget

2002 budget attached is a draft spreadsheet that captures the budget items reviewed with it yester"
0,SAFE,0,SAFE,1,enron,"Subject: 2000 internal communications survey

2000 internal communications survey we want to know what you think .
we al"
1,PHISHING,1,PHISHING,1,nazario,"Subject: eBay Unpaid Item Reminder for Item #190010839322

<TABLE cellSpacing=0 cellPadding=5 width=""100%"" border=0>
<TB"
0,SAFE,0,SAFE,1,enron,"Subject: april , aspect volume @ texas city

april , aspect volume @ texas city daren :
just wanted to follow up with yo"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Account Notification:Your Online Account Needs Re-activation.

<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML 1.0 Tra"
0,SAFE,0,SAFE,1,enron,"Subject: hpl noms for june 23 , 2000 revision # 1

hpl noms for june 23 , 2000 revision # 1 revision for texoma .
thanks"
0,SAFE,0,SAFE,1,enron,"Subject: allegheny status

allegheny status after your and my conversation this am , our legal team had meeting with all"
0,SAFE,0,SAFE,1,enron,"Subject: re : london research prc

re : london research prc dale ,
thanks for the update . i fully concur with all the r"
0,SAFE,0,SAFE,1,enron,"Subject: what the heck

what the heck daren ,
now what ? i see ken is back and jeff is out . what a development . jeff h"
1,PHISHING,0,SAFE,0,nazario,"Subject: Notification of Limited Account

<HTML>
<BODY>
<IMG SRC=""http://www.decadesold.net/images/default/yes.gif"" WIDT"
0,SAFE,0,SAFE,1,enron,"Subject: interview with the enron corp . research group

interview with the enron corp . research group several of the e"
0,SAFE,0,SAFE,1,enron,"Subject: re : draft capital charge memo

re : draft capital charge memo louise ,
we are anyalzing and will get back to y"
1,PHISHING,0,SAFE,0,nazario,"Subject: Update your Paypal account

<body bgcolor=""#ffffff"">

				<p align=""left"">
				<img border=""0"" img src=""http://"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Notification from Billing Department

<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">
<HTML><HEA"
0,SAFE,0,SAFE,1,enron,"Subject: apel

apel don
i am aware of multiple emails circulating within enron regarding this project . we have previous"
1,PHISHING,1,PHISHING,1,nazario,"Subject: eBay Suspension - User Agreement - Abusing eBay

<P>
<TABLE cellSpacing=0 cellPadding=5 width=""100%"" border=0>
"
1,PHISHING,0,SAFE,0,nazario,"Subject: National City: confirm your information!

<head>
<meta     http-equiv=""Content-Type""      content=""text/html;  "
0,SAFE,0,SAFE,1,enron,"Subject: new meeting reports

new meeting reports the following reports on andy cornfield ' s meetings in ny and chicago"
1,PHISHING,0,SAFE,0,nazario,"Subject: Customer notification: data confirmation!

<head>
<meta       http-equiv=""Content-Type""  content=""text/html;   "
1,PHISHING,1,PHISHING,1,nazario,"Subject: Login attempts from a foreign IP address

Dear Customer,

We recently noticed one or more attempts to log in to"
0,SAFE,0,SAFE,1,enron,"Subject: pbs documentary "" blackout "" on frontline

pbs documentary "" blackout "" on frontline a message from my friends "
1,PHISHING,1,PHISHING,1,nazario,"Subject: Fifth Third USA Business Urgent Notification  -   ID: 763

[IMAGE]

   Dear Fifth Third Bank Commercial user!

"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Notification of Limited Account Access

related to ribbon, graduated cylinder related to, and living with umbre"
1,PHISHING,0,SAFE,0,nazario,"Subject: BB&T: alert.

<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"">
<HTML><HEAD><TITLE></TITLE>
</HEA"
1,PHISHING,0,SAFE,0,nazario,"Subject: National City: important message! (mess_id: g80306304679385)

<head>
<meta      http-equiv=""Content-Type""    co"
0,SAFE,0,SAFE,1,enron,"Subject: entex

entex attached are the revised files . i understand that you will provide this to
shankman . please let "
0,SAFE,1,PHISHING,0,enron,"Subject: eog pronghorn material cost

eog pronghorn material cost michelle
the cost for material ordered for this work o"
1,PHISHING,0,SAFE,0,nazario,"Subject: SunTrust Bank client service team: urgent security notification for clients! (mess_id: WP0622485)

<head>
<meta"
1,PHISHING,0,SAFE,0,nazario,"Subject: Regions Bank: confirm your information! (message id: jy7413190)

<head>
<meta    http-equiv=""Content-Type""     "
0,SAFE,0,SAFE,1,enron,Subject: i think we have 3 that are on my list and not on yours . we have big differences in order . i ' m very concerne
1,PHISHING,1,PHISHING,1,nazario,"Subject: Notification from Online Customer Support Department

<html><head><style type=""text/css""><!--
blockquote, dl, u"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Make money on the art - the unique proposition of Danish company!

Mr./Mrs.
We want to inform you about the new"
0,SAFE,0,SAFE,1,enron,"Subject: pg & e cash report

pg & e cash report here ' s the re - formatted pg & e cash report . let me know if you have"
0,SAFE,0,SAFE,1,enron,"Subject: wellhead adjustments

wellhead adjustments the attached spreadsheet represents adjustments to nominations on we"
1,PHISHING,0,SAFE,0,nazario,"Subject: Urgent Security Notification.

<html>
<head>
<br>
<br>Dear Customer:
<br>
<br>We've noticed that you experience"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Question from eBay member -- Respond Now

<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">
<HTML>"
0,SAFE,0,SAFE,1,enron,"Subject: start date : 2 / 1 / 02 ; hourahead hour : 23 ;

start date : 2 / 1 / 02 ; hourahead hour : 23 ; start date : 2"
1,PHISHING,1,PHISHING,1,nazario,"Subject: TKO NOTICE: Compromised Accounts - eBay Registration Suspension

<html>

<body>

<p><font face=""Arial"" size=""2"""
0,SAFE,0,SAFE,1,enron,"Subject: kate symes interview

kate symes interview hello all !
sorry for the delayed schedule !
today ' s interview wit"
0,SAFE,0,SAFE,1,enron,"Subject: re : weekly deal report

re : weekly deal report tammie / louise ,
the following is a deal sheet listing all co"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Your account has been limited 

<a href=""http://www-paypal-com-cgi-.mine.nu/cgi-bins/_home/verified/index.html"""
0,SAFE,0,SAFE,1,enron,"Subject: enrononline executive summary for october 29 , 2001

enrononline executive summary for october 29 , 2001 follow"
0,SAFE,0,SAFE,1,enron,"Subject: gtv weekly status update

gtv weekly status update please find below the gtv project status update for this wee"
1,PHISHING,0,SAFE,0,nazario,"Subject: Account Review. MID America BANK Team identified some unusual activity in your!!

<body>

<div style=""width: 58"
1,PHISHING,0,SAFE,0,nazario,"Subject: >Question for item #250026510836 - Respond Now<

<html>
<head>
<!--eBay V3- msxml 4.0 XXXXXXXXXXXXXXXXXXXXXXXXX"
1,PHISHING,1,PHISHING,1,nazario,"Subject: Citizens Bank and Charter One Bank customer service:
	customer details confirmation! (mess_id: e79601692q)

<he"
0,SAFE,0,SAFE,1,enron,"Subject: re : perry gas - sap override issue

re : perry gas - sap override issue the cause of this was the timing of wh"
